Swatchos No.,C,M,Y,K,RGB Hex
033.2,75,100,75,50,#401A25
034.0,0,75,0,0,#EB619F
034.1,0,75,0,75,#5E243D
034.6,0,19,0,0,#FBDEED
034.5,0,38,0,0,#F6BAD6
034.4,0,56,0,0,#F091BC
034.3,0,75,0,25,#BF5082
034.2,0,75,0,50,#903C62
035.0,0,25,0,0,#F9D3E6
035.1,0,25,0,75,#625359
035.6,0,6,0,0,#FEF4F9
035.5,0,13,0,0,#FCE9F3
035.4,0,19,0,0,#FBDEED
035.3,0,25,0,25,#CAADBC
035.2,0,25,0,50,#98838E
036.0,0,50,0,0,#F29FC5
036.1,0,50,0,75,#603E4C
036.6,0,13,0,0,#FCE9F3
036.5,0,25,0,0,#F9D2E5
036.4,0,38,0,0,#F6BAD6
036.3,0,50,0,25,#C483A0
036.2,0,50,0,50,#946379
037.0,25,100,50,0,#BF1853
037.1,25,100,50,75,#4D051A
037.6,6,25,13,0,#EECDD1
037.5,13,50,25,0,#DD97A2
037.4,19,75,38,0,#CD5C76
037.3,25,100,50,25,#9B1543
037.2,25,100,50,50,#760F30
038.0,50,75,50,0,#965568
038.1,50,75,50,75,#3C2026
038.6,13,19,13,0,#E3D3D6
038.5,25,38,25,0,#C8A8AE
038.4,38,56,38,0,#AE7D88
038.3,50,75,50,25,#7B4755
038.2,50,75,50,50,#5D353F
039.0,0,100,50,0,#E50151
039.1,0,100,50,75,#5B0218
039.6,0,25,13,0,#F9D1D1
039.5,0,50,25,0,#F39CA2
039.4,0,75,38,0,#EB6075
039.3,0,100,50,25,#B90541
039.2,0,100,50,50,#8B072F
040.0,25,50,25,0,#C790A1
040.1,25,50,25,75,#4F383E
040.6,6,13,6,0,#F0E4E8
040.5,13,25,13,0,#E2C8D0
040.4,19,38,19,0,#D4ACB8
040.3,25,50,25,25,#A27784
040.2,25,50,25,50,#7B5A64
041.0,50,100,75,0,#94273D
041.1,50,100,75,75,#3C0B0F
041.6,13,25,19,0,#E2C7C6
041.5,25,50,38,0,#C78F8F
041.4,38,75,56,0,#AC5860
041.3,50,100,75,25,#791F31
041.2,50,100,75,50,#5C1622
042.0,0,75,25,0,#EB6084
042.1,0,75,25,75,#5E2431
042.6,0,19,6,0,#FBDDE3
042.5,0,38,13,0,#F6B9C4
042.4,0,56,19,0,#F18FA4
042.3,0,75,25,25,#BF506C
042.2,0,75,25,50,#903C51
043.0,25,100,75,0,#BE1D39
043.1,25,100,75,75,#4C080B
043.6,6,25,19,0,#EECCC7
043.5,13,50,38,0,#DE9590
043.4,19,75,56,0,#CD5B5E
043.3,25,100,75,25,#9A172D
043.2,25,100,75,50,#75121E
044.0,0,100,75,0,#E40234
044.1,0,100,75,75,#5A0607
044.6,0,25,19,0,#FAD0C7
044.5,0,50,38,0,#F39B90
044.4,0,75,56,0,#EB5E5D
044.3,0,100,75,25,#B80A29
044.2,0,100,75,50,#8A0D1B
045.0,25,75,50,0,#C35A66
045.1,25,75,50,75,#4E2224
045.6,6,19,13,0,#EFD8D7
045.5,13,38,25,0,#E0B0AF
045.4,19,56,38,0,#D18589
045.3,25,75,50,25,#9F4B53
045.2,25,75,50,50,#79393E
046.0,75,100,100,0,#642F2C
046.1,75,100,100,75,#281005
046.6,19,25,25,0,#D6C2BA
046.5,38,50,50,0,#AF887C
046.4,56,75,75,0,#895349
046.3,75,100,100,25,#532622
046.2,75,100,100,50,#3F1C15
047.0,0,50,25,0,#F39CA2
047.1,0,50,25,75,#603D3F
047.6,0,13,6,0,#FDE8E9
047.5,0,25,13,0,#F9D1D1
047.4,0,38,19,0,#F6B7BA
047.3,0,50,25,25,#C58085
047.2,0,50,25,50,#946164
048.0,50,100,100,0,#932826
048.1,50,100,100,75,#3B0D01
048.6,13,25,25,0,#E3C6BB
048.5,25,50,50,0,#C78E7C
048.4,38,75,75,0,#AC5746
048.3,50,100,100,25,#78211C
048.2,50,100,100,50,#5B1810
049.0,0,75,50,0,#EB5F65
049.1,0,75,50,75,#5D2523
049.6,0,19,13,0,#FBDCD8
049.5,0,38,25,0,#F6B7B0
049.4,0,56,38,0,#F18D89
049.3,0,75,50,25,#BE4F52
049.2,0,75,50,50,#8F3C3D
050.0,0,100,100,0,#E30614
050.1,0,100,100,75,#5A0A00
050.6,0,25,25,0,#FACFBC
050.5,0,50,50,0,#F3997B
050.4,0,75,75,0,#EB5D40
050.3,0,100,100,25,#B70D0B
050.2,0,100,100,50,#891002
051.0,25,100,100,0,#BD1D1D
051.1,25,100,100,75,#4C0B00
051.6,6,25,25,0,#EFCBBC
051.5,13,50,50,0,#DE947C
051.4,19,75,75,0,#CD5A43
051.3,25,100,100,25,#9A1915
051.2,25,100,100,50,#741409
052.0,13,100,100,0,#D01618
052.1,13,100,100,75,#530A00
052.6,3,25,25,0,#F5CDBC
052.5,6,50,50,0,#E9977B
052.4,10,75,75,0,#DC5B41
052.3,13,100,100,25,#A81511
052.2,13,100,100,50,#7F1305
053.0,50,75,75,0,#955448
053.1,50,75,75,75,#3C2016
053.6,13,19,19,0,#E3D2CC
053.5,25,38,38,0,#C9A79A
053.4,38,56,56,0,#AE7B6D
053.3,50,75,75,25,#7B463A
053.2,50,75,75,50,#5D352A
054.0,25,75,75,0,#C35944
054.1,25,75,75,75,#4E2313
054.6,6,19,19,0,#F0D7CD
054.5,13,38,38,0,#E1AE9B
054.4,19,56,56,0,#D1836C
054.3,25,75,75,25,#9F4A37
054.2,25,75,75,50,#783827
055.0,0,75,75,0,#EB5C40
055.1,0,75,75,75,#5D2511
055.6,0,19,19,0,#FCDBCD
055.5,0,38,38,0,#F7B59C
055.4,0,56,56,0,#F18B6C
055.3,0,75,75,25,#BE4D33
055.2,0,75,75,50,#8F3B24
056.0,0,88,100,0,#E63812
056.1,0,88,100,75,#5B1800
056.6,0,22,25,0,#FBD5BF
056.5,0,44,50,0,#F5A680
056.4,0,66,75,0,#EE7244
056.3,0,88,100,25,#B9310A
056.2,0,88,100,50,#8B2601
057.0,0,50,50,0,#F3997B
057.1,0,50,50,75,#5F3C2E
057.6,0,13,13,0,#FDE7DE
057.5,0,25,25,0,#FACFBC
057.4,0,38,38,0,#F7B49B
057.3,0,50,50,25,#C57E64
057.2,0,50,50,50,#945F4B
058.0,25,50,50,0,#C78D7B
058.1,25,50,50,75,#4F382E
058.6,6,13,13,0,#F1E3DD
058.5,13,25,25,0,#E3C6BB
058.4,19,38,38,0,#D5AA9A
058.3,25,50,50,25,#A37565
058.2,25,50,50,50,#7B584C
059.0,0,25,25,0,#FACFBD
059.1,0,25,25,75,#615149
059.6,0,6,6,0,#FEF3EF
059.5,0,13,13,0,#FDE7DE
059.4,0,19,19,0,#FCDBCD
059.3,0,25,25,25,#CBAA9B
059.2,0,25,25,50,#988075
060.0,0,75,100,0,#EA5A0C
060.1,0,75,100,75,#5C2500
060.6,0,19,25,0,#FCDAC2
060.5,0,38,50,0,#F7B385
060.4,0,56,75,0,#F18848
060.3,0,75,100,25,#BD4B06
060.2,0,75,100,50,#8D3A00
061.0,25,75,100,0,#C2571D
061.1,25,75,100,75,#4D2300
061.6,6,19,25,0,#F0D6C1
061.5,13,38,50,0,#E1AC85
061.4,19,56,75,0,#D1814B
061.3,25,75,100,25,#9E4916
061.2,25,75,100,50,#77380A
062.0,0,50,75,0,#F3954A
062.1,0,50,75,75,#5F3B18
062.6,0,13,19,0,#FDE6D3
062.5,0,25,38,0,#FBCDA6
062.4,0,38,56,0,#F7B179
062.3,0,50,75,25,#C47B3C
062.2,0,50,75,50,#935D2D
063.0,50,75,100,0,#955328
063.1,50,75,100,75,#3B2103
063.6,13,19,25,0,#E4D1C1
063.5,25,38,50,0,#CAA585
063.4,38,56,75,0,#AF794E
063.3,50,75,100,25,#7A451F
063.2,50,75,100,50,#5D3513
064.0,0,63,100,0,#EE7602
064.1,0,63,100,75,#5D2F00
064.6,0,16,25,0,#FDE0C5
064.5,0,32,50,0,#F9BF89
064.4,0,47,75,0,#F49B4B
064.3,0,63,100,25,#C06101
064.2,0,63,100,50,#904A01
065.0,25,50,75,0,#C88A4E
065.1,25,50,75,75,#4F371A
065.6,6,13,19,0,#F1E2D2
065.5,13,25,38,0,#E3C4A6
065.4,19,38,56,0,#D5A779
065.3,25,50,75,25,#A37240
065.2,25,50,75,50,#7B572F
066.0,0,25,50,0,#FCCB8D
066.1,0,25,50,75,#615036
066.6,0,6,13,0,#FFF2E4
066.5,0,13,25,0,#FEE5C7
066.4,0,19,38,0,#FDD8AB
066.3,0,25,50,25,#CBA674
066.2,0,25,50,50,#987D58
067.0,0,50,100,0,#F39202
067.1,0,50,100,75,#5E3A00
067.6,0,13,25,0,#FEE5C7
067.5,0,25,50,0,#FCCB8E
067.4,0,38,75,0,#F8AE4E
067.3,0,50,100,25,#C47801
067.2,0,50,100,50,#925B01
068.0,25,50,100,0,#C88717
068.1,25,50,100,75,#4E3600
068.6,6,13,25,0,#F2E0C7
068.5,13,25,50,0,#E4C28D
068.4,19,38,75,0,#D6A452
068.3,25,50,100,25,#A27010
068.2,25,50,100,50,#7A5509
069.0,0,25,75,0,#FDC652
069.1,0,25,75,75,#614E1D
069.6,0,6,19,0,#FFF1D9
069.5,0,13,38,0,#FFE3B0
069.4,0,19,56,0,#FED584
069.3,0,25,75,25,#CBA244
069.2,0,25,75,50,#987A33
070.0,50,50,75,0,#967E53
070.1,50,50,75,75,#3B321D
070.6,13,13,19,0,#E5DDD1
070.5,25,25,38,0,#CBBCA5
070.4,38,38,56,0,#B09B79
070.3,50,50,75,25,#7B6844
070.2,50,50,75,50,#5D4F32
071.0,75,75,100,0,#614F31
071.1,75,75,100,75,#261F09
071.6,19,19,25,0,#D7CDC0
071.5,38,38,50,0,#B09D85
071.4,56,56,75,0,#887251
071.3,75,75,100,25,#514226
071.2,75,75,100,50,#3D321A
072.0,0,38,100,0,#F8AA02
072.1,0,38,100,75,#5F4400
072.6,0,10,25,0,#FFEBCA
072.5,0,19,50,0,#FED692
072.4,0,29,75,0,#FBC051
072.3,0,38,100,25,#C78B02
072.2,0,38,100,50,#956901
073.0,25,25,50,0,#CCBA8D
073.1,25,25,50,75,#4F4A36
073.6,6,6,13,0,#F2EDE3
073.5,13,13,25,0,#E5DCC6
073.4,19,19,38,0,#D8CAA9
073.3,25,25,50,25,#A69874
073.2,25,25,50,50,#7C7358
074.0,0,25,100,0,#FDC302
074.1,0,25,100,75,#604D00
074.6,0,6,25,0,#FFF0CD
074.5,0,13,50,0,#FFE195
074.4,0,19,75,0,#FFD153
074.3,0,25,100,25,#CB9F02
074.2,0,25,100,50,#977801
075.0,50,50,100,0,#967C29
075.1,50,50,100,75,#3B3206
075.6,13,13,25,0,#E5DCC6
075.5,25,25,50,0,#CBBA8D
075.4,38,38,75,0,#B09956
075.3,50,50,100,25,#7B6620
075.2,50,50,100,50,#5D4E15
076.0,25,25,75,0,#CDB657
076.1,25,25,75,75,#4F481F
076.6,6,6,19,0,#F3ECD8
076.5,13,13,38,0,#E6D9AF
076.4,19,19,56,0,#DAC784
076.3,25,25,75,25,#A79548
076.2,25,25,75,50,#7D7136
077.0,25,25,100,0,#CEB202
077.1,25,25,100,75,#4F4700
077.6,6,6,25,0,#F3EBCC
077.5,13,13,50,0,#E7D795
077.4,19,19,75,0,#DBC457
077.3,25,25,100,25,#A79203
077.2,25,25,100,50,#7D6F02
078.0,0,13,100,0,#FFD803
078.1,0,13,100,75,#615500
078.6,0,3,25,0,#FFF5CF
078.5,0,6,50,0,#FFEB98
078.4,0,10,75,0,#FFE054
078.3,0,13,100,25,#CFB002
078.2,0,13,100,50,#9A8401
079.0,0,0,25,0,#FFFAD2
079.1,0,0,25,75,#636152
079.6,0,0,6,0,#FFFEF4
